log_id,pid,syscall,key,arguments
17467855,45093,openat,CONF_T1548.003_5,"ffffff9c, 56140ee315a0, 0, 0"
17467856,45015,unlink,CONF_T1548.003_5,"5639ba7955a0, 5639ba7736a8, 0, 33545bc"
17467857,45094,execve,CONF_T1078.003_38,"5601542509f0, 5601542505f0, 560154245ef0, 8"
17467858,45094,setresuid,CONF_T1548.003_4,"0, ffffffff, ffffffff, 7fee5bbc8350"
17467859,45094,openat,CONFFILE_T1548.003_3,"ffffff9c, 7fee5b609f50, 0, 0"
17467860,45094,openat,CONFFILE_T1087.001_4,"ffffff9c, 7fee5b62a1a1, 80000, 0"
17467861,45094,setresuid,CONF_T1548.003_4,"0, ffffffff, ffffffff, 7fee5bbc8350"
17467862,45094,setuid,CONF_T1548.001_29,"0, 7, 7fee5be69c24, 7fee5bbc8350"
17467863,45094,setgid,CONF_T1548.001_29,"0, 3a1383f7, 7fee5be6684d, 7fee5bbc8350"
17467864,45095,setresuid,CONF_T1548.003_4,"0, 0, 0, 7fee5bbc8350"
17467865,45095,execve,CMD_T1059_1,"560752fb35e8, 560752fbbdb8, 560752fad3d0, 0"
17467866,45096,execve,CMD_T1059_1,"563eb2332698, 563eb0ee0c20, 563eb2332608, 7ffd7629cf7d"
17467867,45097,execve,CMD_T1059_1,"563eb2332698, 563eb0ee0c78, 563eb2332608, 7ffd7629cf68"
17467868,45098,execve,CMD_T1059_1,"563eb2334750, 563eb2334638, 563eb23346b8, 563eb2332f90"
17467869,45101,execve,CMD_T1059_1,"563eb2334750, 563eb2334640, 563eb23346b8, 563eb2332f90"
17467870,45100,execve,CMD_T1059_1,"563eb2334750, 563eb2334648, 563eb23346b8, 563eb2332010"
17467871,45095,execve,CMD_T1059_1,"563eb2334750, 563eb2334650, 563eb23346b8, 7ffd7629cf68"
17467872,45095,execve,CMD_T1059_1,"563eb2334750, 563eb2334650, 563eb23346b8, 7ffd7629cf68"
17467873,45095,execve,CMD_T1059_1,"563eb2334750, 563eb2334650, 563eb23346b8, 7ffd7629cf68"
17467874,45095,execve,CMD_T1059_1,"563eb2334750, 563eb2334650, 563eb23346b8, 7ffd7629cf68"
